member,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1,98,15,98-15,Leaf,,,,,-0.00202191272,18.9053917,
1,98,16,98-16,Leaf,,,,,-0.0140912412,82.4997482,
1,98,17,98-17,Leaf,,,,,-0.00327697885,3192.99854,
1,98,18,98-18,Leaf,,,,,-0.000814909406,3471.58447,
1,98,19,98-19,Leaf,,,,,0.00489782449,353.42807,
1,98,20,98-20,Leaf,,,,,-0.000416534778,1357.9519,
1,98,21,98-21,Leaf,,,,,0.00247638789,6897.07812,
1,98,22,98-22,Leaf,,,,,-0.00248476374,496.31662,
1,98,23,98-23,Leaf,,,,,0.0022802481,761.116882,
1,98,24,98-24,Leaf,,,,,-0.00295273075,1094.13916,
1,98,25,98-25,Leaf,,,,,-0.00203258777,3953.25366,
1,98,26,98-26,Leaf,,,,,0.000308464194,2168.05127,
1,98,27,98-27,Leaf,,,,,0.00230686902,2906.14673,
1,98,28,98-28,Leaf,,,,,-0.0022647304,1056.35999,
1,99,0,99-0,recent_margin_quality_weighted_3_minus_race_mean,0.219716489,99-1,99-2,99-1,41.109375,27858.6191,
1,99,1,99-1,jockey_history_top3_excess,-0.062292207,99-3,99-4,99-3,32.5588188,21096.2949,
1,99,2,99-2,recent_last600_best_3,34.8899994,99-5,99-6,99-6,26.528347,6762.32568,
1,99,3,99-3,recent_margin_quality_weighted_3_minus_race_mean,-0.0974918604,99-7,99-8,99-8,12.648777,2227.66772,
1,99,4,99-4,trainer_history_top3_excess,0.158633247,99-9,99-10,99-9,21.5805664,18868.627,
1,99,5,99-5,good_starts,6.0,99-11,99-12,99-12,22.2357788,3197.57788,
1,99,6,99-6,historical_market_overperformance_slope_3,-0.0401799679,99-13,99-14,99-14,12.1589594,3564.74756,
1,99,7,99-7,best_finish_percentile_at_stronger_class,0.533333361,99-15,99-16,99-15,4.98567963,446.987366,
1,99,8,99-8,recent_last600_best_3,35.6800003,99-17,99-18,99-17,8.9817276,1780.68042,
1,99,9,99-9,form_class_level_weighted_3,62.0,99-19,99-20,99-19,21.0745373,18361.0918,
1,99,10,99-10,recent_last600_best_3,33.8400002,99-21,99-22,99-22,7.62550545,507.534393,
