feature,permutation_scope,auc_drop_mean,auc_drop_sd,top3_hit_drop_mean,top3_hit_drop_sd,top3_mrr_drop_mean,top3_mrr_drop_sd
jockey_trainer_history_smoothed_top3_rate_minus_race_mean,within-race,0.00011974553274833877,0.0001811408074192835,0.00023640661938532093,0.0015681441089150632,0.00025816513405163555,0.0007098036874465409
current_weight_minus_recent_avg,within-race,-5.683220635253061e-05,0.00011341491114795123,0.00023640661938532093,0.0008845525737054307,3.2177567638547176e-05,0.000616114401121479
recent_margin_avg_3,within-race,0.00034656614976524835,9.338411842417182e-05,0.00023640661938532093,0.0015681441089150632,2.4246176728459633e-05,0.000523535776772819
horse_jockey_wins,within-race,8.276880201416593e-05,6.206381022978282e-05,0.00023640661938532093,0.0013784756252589233,-0.00048744793425645747,0.0001834269615404579
recent_1_margin,within-race,-0.000982639171210198,0.0003178207152969453,0.00023640661938532093,0.0032067754057329852,-0.0020153008273576024,0.0014156431430670355
historical_market_overperformance_weighted_3_minus_race_median,within-race,-3.5321150111400356e-07,0.0001690305093623265,0.00023640661938530982,0.002033646635234651,-0.0009409050366497417,0.000945287983835787
abs_distance_minus_recent_weighted_avg,within-race,0.00011022949752792499,0.0002565515226662749,0.00023640661938528762,0.0017372267679313343,0.0005200348640064578,0.0011083869004252023
historical_market_overperformance_weighted_3_rank_in_race,within-race,-7.740406091110153e-05,8.572089714139804e-05,0.0,0.0,0.00019187996138352313,0.00016405182583420792
second_up_wins,within-race,4.557386971271171e-06,3.0120975535623968e-05,0.0,0.0,0.00014128109872791895,0.00013489763195810822
best_run_is_last_start,within-race,0.0,0.0,0.0,0.0,0.0,0.0
large_weight_drop_flag,within-race,0.0,0.0,0.0,0.0,0.0,0.0
recent_places,within-race,0.0,0.0,0.0,0.0,0.0,0.0
recent_runs_count,within-race,0.0,0.0,0.0,0.0,0.0,0.0
recent_win_rate_5,within-race,0.0,0.0,0.0,0.0,0.0,0.0
weight_drop_after_close_run_flag,within-race,0.0,0.0,0.0,0.0,0.0,0.0
recent_best_place,within-race,-1.8013269306615953e-06,1.562073490896688e-05,0.0,0.0,0.0,0.0
last3_place_percentage,within-race,-2.3551548364331155e-05,2.0664815335585574e-05,0.0,0.0,0.0,0.0
best_run_within_last_3,within-race,-3.2028855651855534e-05,8.056857331504038e-06,0.0,0.0,-7.880220646183655e-06,6.434173214565031e-06
condition_runs,within-race,-1.9291979044000485e-05,4.268335298146951e-05,0.0,0.0,-3.5273368606725254e-05,4.8152598956486665e-05
recent_wins,within-race,6.581843813644462e-05,1.7608566749033844e-05,0.0,0.0,-9.005966452773073e-05,9.651259821842106e-05
margin_quality_ceiling_6,within-race,2.2204460492503132e-17,6.884745995012573e-05,0.0,0.0,-0.00019137678712145557,0.000305199633270855
last3_place_percentage_rank,within-race,-7.109808202254708e-05,8.855568850079618e-05,0.0,0.0,-0.0002791934884133429,0.0003566737048296431
win_percentage,within-race,4.0148301514753014e-05,0.00011190470985199656,0.0,0.0,-0.0003330587195835566,0.0003904131033302744
recent_margin_quality_best_3,within-race,-6.730980282987353e-05,5.0397194680437216e-05,0.0,0.0,-0.0003339030289385203,0.00026374895695792106
recent_last600_weighted_3,within-race,2.2092419691710497e-05,0.00014761839200054538,0.0,0.0,-0.0003796866385519015,0.00023436899837040964
first_up_starts,within-race,-6.358977045262115e-06,0.00012583253688122138,-2.2204460492503132e-17,0.0007475833711981995,0.0007829391517334749,0.0002846737378135977
recent6_vs_career_place_rate,within-race,-2.3143178541573662e-06,8.223777907527867e-05,-2.2204460492503132e-17,0.0007475833711981995,0.00029758329403717365,0.0008721498907113983
class_step_down,within-race,-8.021949657786021e-05,8.948001655730656e-05,-2.2204460492503132e-17,0.001495166742396399,0.00010330423450989334,0.0005903210158981076
recent_finish_percentile_avg3_minus_avg6,within-race,-0.000267327227538261,0.0002698219623541319,-2.2204460492503132e-17,0.0016716472368476403,-0.00015018800479793537,0.0007241137326931807
recent_6_barrier,within-race,0.00036956384517909945,0.0003910423396999064,-2.2204460492503132e-17,0.004668656656768663,-0.001502737477914773,0.0008614578074285864
jockey_trainer_history_wins,within-race,-0.00017612253357530695,9.811166474510734e-05,-3.3306690738754695e-17,0.0007475833711981995,0.0003596009978988235,0.0003986906965532048
recent_2_place,within-race,-3.770335544353021e-05,0.00011860425277010284,-3.3306690738754695e-17,0.0007475833711981995,0.00012812181251899978,0.00034062578777214157
