feature,coverage,mean_composite_delta,median_composite_delta,worst_composite_delta,best_composite_delta,positive_folds,nonnegative_folds,alpha_sign_consistency,mean_alpha,mean_absolute_alpha,stable_candidate
jockey_trainer_history_top3_excess,0.706118686278017,-0.0009234565582757204,-0.001036191916910345,-0.004438586801068345,0.0011303799782860224,3,3,8,0.06813723085681983,0.06813723085681983,False
recent_3_margin,0.9240358287813536,-0.0009485769704737773,-0.0011349442006653443,-0.0027037589965968056,0.0006361951008549971,2,2,8,-0.11163009796782601,0.11163009796782601,False
last3_place_percentage,0.9820305727926911,-0.000978525921576226,-0.0013988752041136365,-0.003919020688570418,0.0028653960666668032,2,2,8,0.15975019989085287,0.15975019989085287,False
last3_place_percentage_rank,0.9820305727926911,-0.000978525921576226,-0.0013988752041136365,-0.003919020688570418,0.0028653960666668032,2,2,8,-0.15975019989085287,0.15975019989085287,False
recent_weighted_top3_rate,0.9820305727926911,-0.0010180576808441755,-0.002007079889685792,-0.004727948341561761,0.0030300024500731215,3,3,8,0.1603590378882242,0.1603590378882242,False
recent_weighted_top3_rate_rank,0.9820305727926911,-0.0010180576808441755,-0.002007079889685792,-0.004727948341561761,0.0030300024500731215,3,3,8,-0.1603590378882242,0.1603590378882242,False
recent_3_distance_m,0.9240358287813536,-0.0010419725395330037,-0.0010092845379220394,-0.0031497910998044,0.0018727273314889104,2,2,8,-0.008698368123055633,0.008698368123055633,False
jockey_trainer_recent_top3_excess,0.706118686278017,-0.0010806234219470218,-0.0008747164321888379,-0.004748823312524242,0.0011718188976638233,2,2,8,0.04322078865472399,0.04322078865472399,False
recent_top3_rate_5,0.9820305727926911,-0.001158999873365471,-0.0014555860152049571,-0.003866137706823758,0.002027022539986545,2,2,8,0.15452205242802264,0.15452205242802264,False
recent_places,1.0,-0.0013593579711427967,-0.0015987099362423374,-0.005537472423213785,0.0012220285070478898,3,3,8,0.17803207919974345,0.17803207919974345,False
recent_avg_place,0.9820305727926911,-0.0015441516806895261,-0.002116961222331404,-0.004154366556453737,0.0032243476930688963,2,2,8,-0.1751306361612584,0.1751306361612584,False
recent_avg_place_5,0.9820305727926911,-0.0016459217730458164,-0.0017562834075872114,-0.003339440805219307,6.106573516095892e-05,1,1,8,-0.17001535508685345,0.17001535508685345,False
recent_1_place,0.9820305727926911,-0.001749113273884842,-0.0010513375234292854,-0.007037090549308123,0.0009477839093733342,1,1,8,-0.15315725335333152,0.15315725335333152,False
form_same_distance_finish_quality_weighted,0.9251640776565445,-0.00193512898310709,-0.002430980146157502,-0.005463814242004927,0.0028089309244977434,2,2,8,0.19176585995211276,0.19176585995211276,False
recent_weighted_avg_margin,0.9820305727926911,-0.001964205429804286,-0.00309981778980839,-0.005176512354444718,0.0036378748606634703,2,2,8,-0.22824246927096373,0.22824246927096373,False
recent_weighted_avg_margin_rank,0.9820305727926911,-0.001964205429804286,-0.00309981778980839,-0.005176512354444718,0.0036378748606634703,2,2,8,-0.22824246927096373,0.22824246927096373,False
