feature,permutation_scope,auc_drop_mean,auc_drop_sd,top1_drop_mean,top1_drop_sd,mrr_drop_mean,mrr_drop_sd,race_logloss_increase_mean,race_logloss_increase_sd,winner_rank_increase_mean,winner_rank_increase_sd
weight_change_vs_recent_avg,within-race,0.0016362751460090364,0.0007400516302199843,-0.0013333333333333363,0.004988876515698585,-0.0006329133829133693,0.002701262791967417,0.0027281607240983163,0.0013787915078266688,0.01933333333333298,0.01597219806761468
condition_top3_rate_smoothed,within-race,0.0011418991996539284,0.0014667126025798315,-0.00266666666666667,0.007118052168020875,-0.0006422799422799331,0.004885587100004259,0.0009691719229040884,0.003631916675003055,0.002666666666666195,0.027030846576951012
recent_last600_avg_6,within-race,0.0007283149470040939,0.00046391400623402957,-0.000666666666666671,0.003887301263230199,-0.0006519850519850379,0.0016816411108157682,0.0008545011721301065,0.0008660582344686699,0.018666666666666033,0.02017699460056206
recent_finish_percentile_std_6,within-race,0.001426562837983969,0.0007991423327201039,-0.0033333333333333353,0.006992058987801008,-0.0006879971879971802,0.004204580806933204,0.00297973678650445,0.0010796683603359006,0.031999999999999675,0.02276449477195193
recent_finish_percentile_avg_3,within-race,-0.0011109669046074134,0.00021636831351007634,-0.002666666666666667,0.005333333333333335,-0.0007112369112368788,0.002522936178165889,-0.0019554238365838473,0.0005751061178708563,0.019999999999999574,0.010954451150103359
sectional_last600_best_6,within-race,-7.916937053866757e-05,0.00032913389890918635,0.001999999999999996,0.004521553322083516,-0.0007375790875790766,0.0023886481109059543,0.0006884507917819249,0.0006604626978215615,-0.004000000000000448,0.00800000000000023
recent_weighted_avg_margin,within-race,-0.0007812026822409778,0.0005423040878076382,0.001333333333333328,0.004000000000000003,-0.0007565157065156924,0.002210831615907535,-0.0016814792290161585,0.0011514440078083403,0.011999999999999567,0.010873004286866782
best_finish_percentile_at_equal_or_higher_weight,within-race,-0.00024032013843826582,0.00027104173425933836,0.0033333333333333296,0.0021081851067789197,-0.0008018333518333365,0.0016805116551812972,-0.0007505155125087093,0.0005152983985751486,-0.010000000000000498,0.010110500592068616
jockey_trainer_history_win_rate,within-race,-0.0005098420938784542,0.00027482969531820273,-2.7755575615628915e-18,0.0021081851067789197,-0.0008044011544011242,0.0010010982643702047,-0.0010367301413956476,0.0004797025883244433,-0.007333333333333592,0.013727506854649539
recent_last600_std_6,within-race,-0.00010599178022931976,0.0001228650836395405,-0.0020000000000000018,0.002666666666666668,-0.0008373237873237737,0.0012213327212451516,5.3597125990290095e-05,0.0003176990939780017,-0.0026666666666670833,0.005734883511361719
recent_avg_margin_3,within-race,-0.0016052346960847563,0.00048056579902551537,-2.7755575615628915e-18,0.0036514837167011057,-0.000844683094683063,0.003649467303949084,-0.0022891795251990033,0.0009144283332515638,-0.016000000000000368,0.026616619703569565
current_form_strength_pct_in_race,within-race,0.0003510707332900598,0.0007345621328045749,-0.0013333333333333391,0.002666666666666668,-0.0008458134458134258,0.0019363139264946159,-0.00044946101475575875,0.0011039180744179158,0.013999999999999523,0.011813363431112892
similar_distance_finish_percentile_weighted_pct_in_race,within-race,-0.00015877136058839447,9.968195685565593e-05,-0.00266666666666667,0.0024944382578492956,-0.0008522126022125875,0.0014534242905326646,-0.0003694726640234514,0.00020094326622514344,0.019999999999999574,0.010954451150103088
