model,member,importance_type,feature,value
a0,1,cover,historical_market_overperformance_weighted_3_gap_to_best,171.3720245361328
a0,1,cover,hidden_sectional_run_best_3_pct_in_race,1672.5062255859375
a0,1,cover,hidden_sectional_run_best_3_minus_race_median,6221.71337890625
a0,1,cover,hidden_sectional_run_best_3_gap_to_best,724.9382934570312
a0,1,cover,similar_distance_finish_percentile_weighted_rank_in_race,682.9589233398438
a0,1,cover,similar_distance_finish_percentile_weighted_pct_in_race,671.6431884765625
a0,1,cover,similar_distance_finish_percentile_weighted_minus_race_mean,967.26318359375
a0,1,cover,similar_distance_finish_percentile_weighted_zscore_in_race,652.0805053710938
a0,1,cover,jockey_trainer_history_smoothed_top3_rate_gap_to_best,422.3918151855469
a0,1,cover,current_form_strength_pct_in_race,807.8138427734375
a0,1,cover,current_form_strength_minus_race_median,2426.9697265625
a0,1,cover,current_form_strength_zscore_in_race,697.0963134765625
a0,1,cover,finish_rank_minus_market_rank,766.7994384765625
a0,1,cover,margin_rank_minus_market_rank,797.801025390625
a0,1,cover,career_rank_minus_market_rank,677.7051391601562
a0,1,cover,career_market_rank_abs_gap,938.1403198242188
a0,1,cover,prize_money_rank_minus_market_rank,489.7284240722656
a0,1,cover,prize_money_market_rank_abs_gap,708.5582885742188
a0,1,cover,total_prize_money,921.0728149414062
a0,1,cover,race_field_max_prize_money,599.8512573242188
a0,1,cover,race_field_avg_speed_rating,45.76774978637695
a0,1,cover,race_field_max_speed_rating,838.4834594726562
a0,1,cover,weight_vs_field_mean,5115.11328125
a0,1,cover,preparation_run_number,502.7898254394531
a0,1,cover,runs_this_preparation_before_race,428.38043212890625
a0,1,cover,first_up_flag,407.20184326171875
a0,1,weight,active_field_size,19.0
a0,1,weight,draw_number,2.0
a0,1,weight,career_wins,1.0
a0,1,weight,weight_change_vs_recent_avg,5.0
a0,1,weight,weight_change_vs_recent_weighted_avg,4.0
a0,1,weight,large_weight_drop_flag,1.0
a0,1,weight,win_percentage,1.0
a0,1,weight,distance_starts,1.0
a0,1,weight,recent_2_starting_price,1.0
a0,1,weight,recent_3_starting_price,1.0
a0,1,weight,recent_3_total_runners,1.0
a0,1,weight,open_price,19.0
a0,1,weight,fluc1,88.0
a0,1,weight,fluc2,85.0
a0,1,weight,recent_weighted_avg_margin_rank,1.0
a0,1,weight,recent_best_margin,1.0
a0,1,weight,trainer_recent_top3_excess,1.0
a0,1,weight,trackExpert,1.0
a0,1,weight,race_number,37.0
a0,1,weight,field_size,10.0
a0,1,weight,speed_rating,1.0
a0,1,weight,dry_rating,1.0
a0,1,weight,prize_money,1.0
a0,1,weight,heavy_starts,1.0
a0,1,weight,second_up_starts,2.0
a0,1,weight,recent_1_place,1.0
a0,1,weight,recent_1_distance_m,1.0
a0,1,weight,recent_1_weight_kg,1.0
a0,1,weight,recent_1_barrier,1.0
a0,1,weight,recent_1_margin,2.0
a0,1,weight,recent_1_total_runners,6.0
a0,1,weight,recent_2_distance_m,1.0
a0,1,weight,recent_2_margin,1.0
a0,1,weight,recent_3_place,1.0
a0,1,weight,recent_3_barrier,3.0
a0,1,weight,recent_4_place,2.0
a0,1,weight,recent_4_weight_kg,2.0
a0,1,weight,recent_4_starting_price,3.0
a0,1,weight,recent_4_margin,4.0
a0,1,weight,recent_5_distance_m,1.0
a0,1,weight,recent_5_starting_price,1.0
a0,1,weight,recent_5_margin,1.0
a0,1,weight,recent_5_total_runners,2.0
a0,1,weight,recent_6_place,2.0
a0,1,weight,recent_6_distance_m,4.0
a0,1,weight,recent_6_barrier,1.0
